Brand,Switch Name,Switch Name Complete,Type,Actuation Force,Actuation Point,Bottom Out,Bottom Out Travel,Stem Compatibility,Available On Brand Names?,Notes
Flaretech,Blue,Flaretech Blue,Clicky,80,1.5-3.6,80,4,Cherry,,
HyperX,Red,HyperX Red,Linear,45,,,3.8,Cherry,,
HyperX,Aqua,HyperX Aqua,Tactile,45,,,3.8,Cherry,,
c3,Tangerine,c3 Tangerine,Linear,62,,,4,Cherry,,
,H1s,H1s,Linear,,,78,4,Cherry,,
TTC,Gold Pink,TTC Gold Pink,Linear,37,2,45,4,Cherry,,
NovelKeys x Kailh,Blueberry,NovelKeys x Kailh Blueberry,Tactile,55,3,80,4,Cherry,,
Drop,Holy Panda,Drop Holy Panda,Tactile,44,2.4,62,3.8,Cherry,,
Drop,Holy Panda X,Drop Holy Panda X,Tactile,,2.4,62,3.5,Cherry,,
Glorious,Panda,Glorious Panda,Tactile,,2,67,4,Cherry,,
Everglide,Crystal Violet,Everglide Crystal Violet,Tactile,55,2,63.5,4,Cherry,,
Everglide,Sakura Pink,Everglide Sakura Pink,Linear,45,2,,4,Cherry,,
Everglide,Jade Green,Everglide Jade Green,Tactile,58,2,,4,Cherry,,
Everglide,Coral Red,Everglide Coral Red,Linear,67,2,,4,Cherry,,
Everglide,Amber Orange,Everglide Amber Orange,Linear,58,2,,4,Cherry,,
Everglide,Oreo,Everglide Oreo,Tactile,55,2,62,4,Cherry,,
Everglide,Tourmaline Blue Cyan,Everglide Tourmaline Blue Cyan,Linear,50,2,55,4,Cherry,,
Everglide,Water King V3 55g,Everglide Water King V3 55g,Linear,40,2,55,4,Cherry,,
Everglide,Water King V3 62g,Everglide Water King V3 62g,Linear,45,2,62,4,Cherry,,
Everglide,Water King V3 67g,Everglide Water King V3 67g,Linear,55,2,62,4,Cherry,,
Everglide,Dark Jade,Everglide Dark Jade,Tactile,67,2,67,4,Cherry,,
,T1 67G,T1 67G,Tactile,,,67,,,,
,T1 65G,T1 65G,Tactile,,,65,,,,
,T1 62G,T1 62G,Tactile,,,62,,,,
Prime Keyboard,Alpalca,Prime Keyboard Alpalca,Linear,62,2,,4,Cherry,,
Prime Keyboard,Alpalca V2,Prime Keyboard Alpalca V2,Linear,62,2,,4,Cherry,,
Thickthock,Marshmallow,Thickthock Marshmallow,Linear,50,1.4,68,,Cherry,,
Gazzew,Boba U4T 68G,Gazzew Boba U4T 68G,Tactle,,1.5,68,3.7,Cherry,,
Gazzew,Boba U4T 62G,Gazzew Boba U4T 62G,Tactle,,1.5,62,3.7,Cherry,,
Gazzew,Boba U4 62G,Gazzew Boba U4 62G,Tactile,,1.5,62,3.7,Cherry,,
Gazzew,Boba U4 68G,Gazzew Boba U4 68G,Tactile,,1.5,68,3.7,Cherry,,
RAMA Works,Duck,RAMA Works Duck,Linear,60,1.5,70,3.685,Cherry,,
